Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;Total;2024;0;1.21;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;15-44;2024;0;0.2;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;45-64;2024;0;0.71;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;65-74;2024;0;3.82;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;75-84;2024;0;4.72;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Total;85+;2024;0;6.66;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;85+;2024;0;9.4;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;75-84;2024;0;7.92;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;65-74;2024;0;6.05;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;0-14;2024;0;0.18;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;45-64;2024;0;0.59;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;15-44;2024;0;0.07;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Home;Total;2024;0;1.45;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;Total;2024;0;0.98;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;15-44;2024;0;0.34;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;0-14;2024;0;0.19;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;45-64;2024;0;0.84;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;65-74;2024;0;1.9;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;75-84;2024;0;2.31;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 5-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - Listeria monocytogenes;Dona;85+;2024;0;5.28;;0;
Salut Pública;Estat de salut;Barcelona 4-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;75-84;2024;56.34;22.13;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;65-74;2024;50.89;21.58;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;65-74;2024;63.21;21.58;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;65-74;2024;56.37;21.58;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;0-14;2024;66.45;74.39;;0;
Salut Pública;Estat de salut;Barcelona 4-B;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;0-14;2024;76.86;74.39;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;45-64;2024;21.67;12.27;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Dona;15-44;2024;18.92;15.99;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Home;85+;2024;224.22;31.71;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Home;75-84;2024;104.93;36.94;;0;
Salut Pública;Estat de salut;Barcelona 5-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Home;75-84;2024;108.11;36.94;;0;
Salut Pública;Estat de salut;Barcelona 2-E;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Home;15-44;2024;14.15;14.1;;0;
Salut Pública;Estat de salut;Barcelona 2-C;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Home;45-64;2024;25.06;11.25;;0;
Salut Pública;Estat de salut;Barcelona 4-A;Àrea Bàsica de Salut;Malalties alimentàries de declaració obligatòria - salmonel·la;Total;15-44;2024;9.62;15.03;;0;
